# Task: walking
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,42.33,3.40,16.25,3.11,18.00,2.45
250,30.25,6.94,22.25,3.03,16.75,5.49
500,30.00,5.72,20.50,3.04,22.33,1.25
750,35.67,5.31,16.67,1.25,21.00,2.55
1000,39.00,1.22,17.75,2.77,21.50,0.87
1250,38.00,2.00,17.25,1.79,19.25,3.77
1500,37.25,9.63,12.50,2.29,16.50,5.17
1750,29.50,1.50,19.00,1.00,20.25,3.11
2000,27.50,5.94,15.00,7.35,21.50,2.29
2250,32.75,6.83,19.67,3.40,21.75,0.83
2500,35.25,1.30,14.33,2.62,12.00,6.16
2750,39.00,2.12,9.00,4.90,12.00,1.63
3000,34.25,7.05,12.50,3.35,17.25,4.49
3250,29.00,1.41,16.25,1.09,13.67,3.09
3500,27.00,5.20,10.75,5.12,15.75,4.44
3750,37.50,1.12,15.25,3.90,20.75,1.79
4000,36.33,0.47,18.00,2.45,17.50,3.77
4250,39.25,1.64,18.50,1.50,19.75,4.60
4500,30.00,1.63,18.33,2.49,17.50,3.64
4750,28.00,1.22,15.75,1.92,12.75,1.92
5000,33.25,8.10,12.00,3.67,16.50,2.96
5250,38.25,5.76,20.50,2.69,15.50,2.29
5500,34.75,3.70,15.25,5.07,12.75,2.49
5750,39.25,5.31,12.67,4.92,16.25,3.34
6000,35.25,7.79,12.75,0.83,25.00,2.12
6250,31.00,6.08,16.00,2.83,21.25,4.55
6500,41.00,5.05,16.25,3.03,22.00,1.22
6750,40.25,1.30,19.00,4.18,19.50,4.15
7000,38.75,2.17,7.33,3.86,19.50,4.50
7250,39.50,7.57,8.67,4.71,17.00,5.61
7500,31.50,1.66,17.25,3.27,17.25,2.05
7750,36.25,4.97,17.25,4.02,15.00,3.00
8000,45.00,3.67,13.67,4.11,12.75,2.49
8250,41.25,1.30,18.25,4.49,12.50,2.29
8500,39.50,7.40,22.25,1.64,9.75,5.12
8750,39.75,5.76,16.75,1.79,14.00,3.46
9000,31.00,4.36,16.25,3.34,12.50,7.53
9250,31.75,5.76,16.33,5.25,14.00,2.83
9500,39.75,1.92,17.75,3.49,8.25,4.32
9750,38.75,4.49,15.00,2.74,18.75,1.30
10000,37.00,2.92,10.50,2.60,16.00,4.06
10250,39.33,4.50,15.25,3.63,15.00,4.90
10500,27.50,5.12,11.75,4.66,24.00,0.00
10750,26.67,2.49,18.33,2.05,21.75,0.43
11000,29.75,7.89,12.75,4.32,16.67,3.40
11250,33.75,3.03,17.25,5.93,11.75,3.27
11500,34.50,4.03,13.75,1.79,14.00,3.39
11750,32.25,6.83,13.25,1.09,15.25,6.34
12000,27.25,1.79,15.00,3.08,17.75,3.49
12250,34.75,7.60,18.75,3.03,14.75,3.42
12500,33.50,4.92,17.00,0.82,9.33,4.71
12750,32.25,7.08,13.25,3.56,15.00,5.79
13000,41.25,4.76,16.00,2.94,17.33,3.86
13250,30.00,3.67,12.50,5.68,22.33,1.25
13500,28.33,3.40,13.25,3.34,12.67,2.62
13750,36.00,4.24,14.75,6.72,20.75,2.17
14000,29.00,1.63,13.67,3.30,16.25,5.49
14250,36.00,2.12,16.00,3.16,10.00,2.12
14500,37.00,7.48,17.00,1.00,14.67,2.87
14750,23.25,5.36,15.25,1.09,20.00,2.12
15000,33.50,9.76,15.25,0.43,16.50,3.35
15250,32.00,4.42,21.50,0.87,10.00,3.46
15500,33.50,3.04,15.00,3.74,16.00,4.32
15750,38.00,2.83,15.67,3.30,16.50,4.50
16000,27.20,4.87,10.20,2.93,20.67,2.92
16250,32.25,7.76,15.33,4.92,22.67,1.25
16500,37.50,4.72,16.50,3.35,13.75,4.60
16750,31.00,5.72,18.33,4.50,9.00,3.94
17000,36.50,7.26,19.67,1.25,16.67,4.78
17250,35.75,7.26,19.50,3.35,11.00,6.36
17500,28.33,1.25,14.75,7.73,17.50,0.50
17750,32.50,6.87,13.25,3.77,12.50,2.69
18000,35.67,2.05,20.33,2.05,15.50,3.91
18250,31.00,3.74,15.67,0.94,16.25,1.30
18500,37.75,5.76,9.75,3.96,13.50,6.18
18750,30.75,7.79,10.00,3.74,18.25,3.96
19000,19.50,6.34,12.50,3.77,15.25,1.48
19250,34.50,3.20,11.25,2.28,15.25,3.56
19500,25.75,6.50,16.33,3.40,10.50,4.50
19750,29.25,5.76,10.00,5.10,14.25,4.66
20000,31.50,3.64,15.00,2.92,16.50,3.57
20250,23.00,6.60,16.00,0.82,16.00,2.83
20500,34.75,6.10,15.00,3.56,17.00,2.83
20750,35.25,2.49,17.25,3.27,14.25,6.30
21000,33.50,2.87,16.25,5.02,14.25,2.86
21250,36.00,4.90,15.50,2.29,13.67,2.62
21500,28.25,3.77,15.00,1.22,18.50,1.80
21750,24.67,3.86,11.33,1.70,11.75,4.60
22000,40.50,3.35,11.25,6.65,14.00,3.46
22250,38.75,1.79,18.50,2.50,16.75,2.95
22500,36.25,4.38,16.50,3.64,21.25,2.77
22750,38.00,6.12,16.75,4.09,15.50,5.02
23000,21.75,7.19,12.50,4.50,18.00,2.24
23250,32.50,3.57,13.75,3.03,11.67,0.47
23500,38.50,1.66,20.75,3.11,10.00,4.42
23750,35.75,3.49,15.00,7.58,19.25,4.92
24000,35.25,5.80,13.75,4.60,16.75,3.19
24250,29.50,2.06,14.50,1.80,20.50,6.50
24500,26.75,6.94,14.25,1.30,15.00,2.24
24750,38.75,7.89,17.00,1.63,20.33,0.94
25000,35.00,2.12,16.25,7.85,11.75,4.32
25250,34.50,5.41,13.75,4.26,18.75,6.30
25500,34.00,5.10,18.00,3.54,13.33,0.94
25750,25.50,4.50,15.33,3.68,19.75,3.42
26000,31.25,3.49,17.50,1.80,17.75,2.68
26250,38.50,2.69,14.00,1.41,11.25,6.72
26500,33.00,6.36,12.75,1.30,15.50,3.84
26750,37.50,3.35,8.33,3.30,15.25,2.38
27000,27.00,2.55,13.25,4.02,12.25,5.21
27250,26.50,4.33,15.50,0.50,17.25,3.96
27500,39.50,3.77,13.00,1.58,19.50,1.12
27750,36.25,3.27,11.67,3.68,17.33,0.94
28000,36.75,1.30,13.00,4.90,15.75,7.46
28250,35.75,6.57,16.25,3.19,17.75,1.79
28500,23.25,4.82,13.00,2.74,12.50,2.87
28750,34.50,4.50,15.67,0.94,16.00,1.41
29000,37.50,4.97,14.60,2.33,9.67,1.70
29250,33.67,3.09,17.00,1.41,14.75,2.17
29500,37.25,3.70,17.25,2.59,18.75,2.49
29750,29.50,2.06,18.50,2.69,20.25,4.44
30000,25.25,4.02,17.75,3.96,14.75,2.17
30250,35.75,3.42,15.25,4.55,14.75,1.92
30500,30.00,3.54,15.50,2.69,14.25,3.27
30750,32.25,6.06,14.50,2.50,13.00,3.56
31000,33.00,7.65,10.25,5.26,17.75,1.79
31250,26.75,3.34,18.00,1.41,19.50,2.69
31500,31.25,7.76,13.00,7.58,15.25,2.17
31750,28.00,6.82,20.00,3.74,8.00,1.00
32000,26.67,5.31,17.50,1.50,19.33,0.47
32250,39.50,5.41,11.33,5.31,15.25,3.70
32500,32.33,2.87,10.33,6.24,16.00,8.22
32750,28.75,1.30,14.50,5.89,16.25,2.86
33000,43.00,1.22,12.50,4.56,16.75,3.11
33250,32.75,2.17,20.00,1.58,19.75,1.09
33500,34.00,4.24,15.75,2.86,16.50,2.06
33750,39.25,7.33,14.00,2.12,14.33,0.94
34000,29.75,3.27,17.25,5.12,14.50,6.42
34250,36.25,3.27,15.25,4.97,12.75,4.26
34500,37.75,2.05,11.75,5.89,14.75,1.79
34750,20.33,9.18,17.00,2.83,10.00,1.22
35000,39.00,3.67,14.00,3.00,12.25,0.43
35250,25.67,4.64,13.33,1.89,14.50,5.41
35500,25.33,1.25,12.67,5.44,15.00,6.16
35750,33.50,6.34,18.25,1.09,15.00,3.74
36000,33.75,3.34,14.00,2.45,14.25,2.59
36250,34.00,4.06,11.50,2.29,15.25,2.77
36500,36.75,7.15,12.67,0.94,12.25,6.06
36750,26.25,2.49,15.75,4.49,13.00,1.87
37000,29.00,2.55,14.00,7.26,10.00,6.04
37250,34.50,3.35,17.25,3.34,14.00,2.45
37500,30.25,4.15,12.00,0.00,15.33,2.05
37750,31.75,11.78,11.00,2.24,12.00,1.22
38000,29.75,1.79,13.75,2.17,17.25,4.92
