# Task: standing
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,48.00,0.00,6.75,3.77,11.00,1.22
250,47.75,0.43,11.50,0.50,10.00,1.00
500,48.00,0.00,11.25,0.43,8.67,0.47
750,48.00,0.00,11.67,0.47,11.00,1.41
1000,48.00,0.00,10.25,1.79,12.00,0.00
1250,48.00,0.00,6.75,0.83,9.75,2.49
1500,48.00,0.00,8.00,1.41,6.75,2.59
1750,47.75,0.43,9.00,1.87,11.75,1.09
2000,47.50,0.50,10.50,1.50,6.75,3.56
2250,47.50,0.50,8.00,2.35,8.50,1.50
2500,47.50,0.50,11.00,0.82,7.33,2.49
2750,47.75,0.43,11.50,0.50,11.33,1.70
3000,47.50,0.50,9.33,0.47,8.67,0.47
3250,47.00,1.00,9.50,1.50,12.00,0.00
3500,46.00,1.00,11.75,0.43,9.00,0.71
3750,47.00,0.82,13.00,0.82,6.50,2.50
4000,47.25,0.43,10.00,1.41,5.33,2.87
4250,47.33,0.47,10.33,0.94,7.75,2.17
4500,47.50,0.50,9.33,1.70,6.67,3.09
4750,47.25,0.43,11.00,0.82,10.00,1.00
5000,47.50,0.50,10.75,0.43,11.50,0.50
5250,47.50,0.50,10.33,0.47,8.33,2.49
5500,47.50,0.50,6.50,2.50,8.25,2.05
5750,47.67,0.47,9.75,0.83,6.00,0.00
6000,48.00,0.00,10.00,0.00,5.00,2.35
6250,48.00,0.00,10.00,0.71,5.67,3.09
6500,47.50,0.50,7.67,1.25,9.00,0.82
6750,48.00,0.00,9.25,0.43,6.75,0.83
7000,47.75,0.43,9.00,0.71,8.25,1.92
7250,47.75,0.43,9.25,0.43,8.75,2.28
7500,47.75,0.43,10.75,0.43,5.00,4.00
7750,48.00,0.00,10.33,0.47,10.67,1.25
8000,48.00,0.00,11.25,0.83,11.67,0.47
8250,48.00,0.00,13.00,0.71,10.00,0.82
8500,48.00,0.00,15.75,0.83,9.75,1.30
8750,48.00,0.00,16.67,0.47,14.00,1.41
9000,47.25,1.30,11.00,1.22,15.50,2.18
9250,41.25,2.59,12.00,3.56,14.25,3.90
9500,45.00,0.00,12.25,1.09,11.75,5.93
9750,45.25,0.43,11.75,5.36,10.50,6.58
10000,45.25,0.43,14.25,1.48,16.50,1.12
10250,46.50,0.50,11.75,0.43,14.75,0.43
10500,47.50,0.50,11.00,0.82,15.33,0.94
10750,47.50,0.50,11.50,1.12,18.25,0.43
11000,47.50,0.50,15.50,0.50,16.00,1.58
11250,47.50,0.50,17.25,0.43,12.50,1.50
11500,47.50,0.50,17.00,0.00,9.67,0.47
11750,47.67,0.47,16.50,0.50,10.00,0.82
12000,47.50,0.50,16.33,0.47,10.50,1.50
12250,47.50,0.50,16.75,0.43,12.25,0.43
12500,47.50,0.50,16.75,0.43,12.75,0.83
12750,47.50,0.50,17.00,0.71,12.50,0.50
13000,47.50,0.50,16.50,0.87,12.25,0.43
13250,47.50,0.50,17.00,0.00,12.50,0.50
13500,47.50,0.50,16.50,0.50,12.75,0.83
13750,47.50,0.50,17.00,0.00,13.00,1.22
14000,47.50,0.50,17.50,0.50,13.00,1.00
14250,47.50,0.50,17.00,0.00,12.67,0.94
14500,47.50,0.50,17.20,0.40,13.20,1.17
14750,47.50,0.50,17.00,0.00,14.50,0.87
15000,47.75,0.43,16.75,0.43,13.75,0.83
15250,47.50,0.50,16.00,0.71,13.00,1.22
15500,47.50,0.50,15.75,0.83,12.75,0.83
15750,47.50,0.50,15.50,0.50,11.50,0.50
16000,47.50,0.50,16.33,0.47,12.67,0.47
16250,47.67,0.47,15.50,0.50,16.33,1.25
16500,47.50,0.50,15.25,0.43,16.50,1.12
16750,47.50,0.50,19.25,1.30,14.00,0.82
17000,47.50,0.50,17.00,2.74,13.25,1.30
17250,47.33,0.47,19.00,0.82,13.25,1.30
17500,47.50,0.50,21.00,0.00,12.50,1.12
17750,47.50,0.50,21.00,0.00,9.75,1.30
18000,47.50,0.50,20.75,0.43,7.50,2.06
18250,47.50,0.50,20.25,0.43,8.00,0.82
18500,47.50,0.50,21.00,0.00,7.00,1.41
18750,47.50,0.50,21.00,0.00,10.00,1.00
19000,47.50,0.50,20.00,0.71,9.75,0.43
19250,47.50,0.50,19.50,0.50,10.75,0.43
19500,47.50,0.50,19.00,0.71,11.50,0.50
19750,47.50,0.50,19.00,0.71,12.00,0.00
20000,47.67,0.47,18.75,0.43,12.50,0.50
20250,47.75,0.43,18.75,0.43,12.25,0.43
20500,47.50,0.50,18.25,0.43,12.75,0.83
20750,47.50,0.50,18.25,0.43,14.00,1.00
21000,47.50,0.50,18.25,0.43,13.75,0.83
21250,47.50,0.50,19.00,0.00,12.33,0.47
21500,47.60,0.49,19.40,0.49,10.75,1.30
21750,47.33,0.47,20.33,0.47,5.75,2.49
22000,47.50,0.50,20.50,0.50,2.67,1.70
22250,47.33,0.47,20.33,0.47,6.00,1.22
22500,47.50,0.50,20.50,0.50,5.33,0.94
22750,47.75,0.43,20.00,0.00,7.75,0.83
23000,47.50,0.50,19.50,0.50,8.50,0.50
23250,47.50,0.50,18.50,0.50,9.33,0.47
23500,47.75,0.43,18.33,0.47,9.33,0.47
23750,47.50,0.50,18.25,0.43,11.25,0.43
24000,47.75,0.43,18.75,0.43,12.00,0.00
24250,47.50,0.50,18.25,0.43,12.75,0.83
24500,48.00,0.00,18.25,0.43,12.67,0.47
24750,48.00,0.00,18.00,0.00,12.50,0.50
25000,47.75,0.43,18.00,0.00,12.25,0.43
25250,48.00,0.00,18.25,0.43,12.00,0.00
25500,47.50,0.50,18.25,0.43,11.75,0.43
25750,47.50,0.50,19.00,0.00,12.00,0.82
26000,48.00,0.00,18.25,0.43,11.75,0.83
26250,47.75,0.43,18.00,0.00,13.00,0.71
26500,48.00,0.00,17.75,0.43,12.50,0.87
